I2M2;v1.0.6;2023-04-26;Temps d'execution :;10.35secs
CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT;COMMENTAIRE
0416159517/08/2022;04161595;17/08/2022;8058;IndiceShannonI2M2;0.8559;
0416159517/08/2022;04161595;17/08/2022;8057;AverageScorePerTaxonI2M2;0.7465;
0416159517/08/2022;04161595;17/08/2022;8056;PolyvoltinismeI2M2;0.5346;
0416159517/08/2022;04161595;17/08/2022;8055;OvovivipariteI2M2;0.4002;
0416159517/08/2022;04161595;17/08/2022;8054;RichesseI2M2;0.5714;
0416159517/08/2022;04161595;17/08/2022;7613;Ind Invert Multimetrique;0.6116;
0416159517/08/2022;04161595;17/08/2022;8050;NbTaxonsI2M2Contributifs;53;Les taxons suivants, representant 5% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 50011, 3127, 3170.
0416190013/07/2022;04161900;13/07/2022;8058;IndiceShannonI2M2;0.475;
0416190013/07/2022;04161900;13/07/2022;8057;AverageScorePerTaxonI2M2;0.3875;
0416190013/07/2022;04161900;13/07/2022;8056;PolyvoltinismeI2M2;0.2049;
0416190013/07/2022;04161900;13/07/2022;8055;OvovivipariteI2M2;0.23;
0416190013/07/2022;04161900;13/07/2022;8054;RichesseI2M2;0.4286;
0416190013/07/2022;04161900;13/07/2022;7613;Ind Invert Multimetrique;0.3322;
0416190013/07/2022;04161900;13/07/2022;8050;NbTaxonsI2M2Contributifs;44;Les taxons suivants, representant 2% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 50011.
0416230006/09/2022;04162300;06/09/2022;8058;IndiceShannonI2M2;0.8311;
0416230006/09/2022;04162300;06/09/2022;8057;AverageScorePerTaxonI2M2;0.8882;
0416230006/09/2022;04162300;06/09/2022;8056;PolyvoltinismeI2M2;0.7176;
0416230006/09/2022;04162300;06/09/2022;8055;OvovivipariteI2M2;0.589;
0416230006/09/2022;04162300;06/09/2022;8054;RichesseI2M2;0.5197;
