I2M2;v1.0.6;2023-04-26;Temps d'execution :;10.35secs
CODE_OPERATION;TYPO_NATIONALE;SHANNON;ASPT;POLYVOLTIN;OVOVIVIPARE;RICHESSE
0411070008/09/2022;TP9;3.2309;5.5625;0.422;0.1823;36
0411074021/09/2022;P9;2.4518;6.3333;0.3681;0.1615;28
0411558009/09/2022;M9;3.675;6.1786;0.2515;0.1404;49
0411567508/09/2022;P9;3.9173;6.5652;0.3006;0.163;45
0412310007/09/2022;P12-B;3.7994;6.6538;0.2108;0.0718;42
0412376007/09/2022;P12-B;4.02;7.1304;0.2288;0.0644;43
0416159517/08/2022;P12-B;4.0148;6.45;0.3257;0.1919;50
0416190013/07/2022;TP12-B;2.9089;5.4545;0.4147;0.2379;43
0416230006/09/2022;M12-B;4.0548;6.6667;0.2906;0.1472;49
0416295818/08/2022;P12-B;3.9536;6.9;0.2571;0.1024;52
0416350006/09/2022;P12-B;3.918;5.6;0.4026;0.2161;58
0416420031/05/2022;TP12-B;2.2217;3.3077;0.4609;0.3718;16
0416475802/08/2022;TP12-B;4.0341;6.4074;0.2357;0.0764;50
0416485020/07/2022;P12-B;3.8737;6.5;0.2857;0.1513;52
0416522520/07/2022;TP12-B;3.1873;5.7;0.2922;0.158;42
0416680020/07/2022;TP12-B;4.0412;5.4118;0.3779;0.1571;53
0416775031/05/2022;TP12-B;2.194;5.6;0.505;0.3613;31
0416781531/05/2022;TP12-B;3.832;6.5833;0.3205;0.2008;49
0416814012/09/2022;P12-B;3.4382;6;0.3974;0.2334;44
0417145013/09/2022;P12-B;3.6098;6.2353;0.2487;0.1262;55
0417167012/09/2022;P12-B;4.0218;6.9091;0.2211;0.0836;61
0417203013/09/2022;M12-B;3.1874;6.5172;0.306;0.1436;49
0417206013/09/2022;M12-B;3.2512;6.5;0.3343;0.1534;46
0417257014/09/2022;TP12-B;2.4168;6.0345;0.2501;0.1455;51
0417308314/09/2022;P12-B;3.982;6.6296;0.2312;0.1048;50
0417310014/09/2022;P12-B;4.0812;6.6429;0.2204;0.1029;63
0417340501/06/2022;TP12-B;3.2954;6.2308;0.3132;0.1929;45
0417373715/09/2022;TP12-B;3.7625;6.5714;0.2823;0.1557;50
0417425015/09/2022;P12-B;2.9765;5.2222;0.3528;0.2254;50
