CODE_OPERATION	CODE_STATION	LB_STATION	CODE_POINT	DATE	CODE_PRODUCTEUR	NOM_PRODUCTEUR	CODE_PRELEVEUR	NOM_PRELEVEUR	CODE_DETERMINATEUR	NOM_DETERMINATEUR	COORD_X_OP	COORD_Y_OP	COORD_X_OP_AVAL	COORD_Y_OP_AVAL	TYPO_NATIONALE	CODE_PHASE	CODE_PREL_ELEM	CODE_TAXON	NOM_LATIN_TAXON	RESULTAT	CODE_REMARQUE
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		1009	Planorbidae	4	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		1028	Ancylus	1	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		1042	Sphaeriidae	23	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		1043	Pisidium	15	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		1044	Sphaerium	8	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		1056	Dugesia	2	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		1064	Polycelis	1	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		223	Polycentropodidae	2	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		224	Cyrnus	10	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		231	Polycentropus	8	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		310	Leptoceridae	1	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		311	Athripsodes	8	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		3127	Cladocera	1	4
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		312	Mystacides	4	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		3202	Hemerodromiinae	1	1
RCS223-06070	04211310	RAU DE TREHELU À GUICHEN	003	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	345434	6774470	345462	6774481	TP12-A	A		3206	Copepoda	1	4
