CODE_OPERATION	CODE_STATION	LB_STATION	CODE_POINT	DATE	CODE_PRODUCTEUR	NOM_PRODUCTEUR	CODE_PRELEVEUR	NOM_PRELEVEUR	CODE_DETERMINATEUR	NOM_DETERMINATEUR	COORD_X_OP	COORD_Y_OP	COORD_X_OP_AVAL	COORD_Y_OP_AVAL	TYPO_NATIONALE	CODE_PHASE	CODE_PREL_ELEM	CODE_TAXON	NOM_LATIN_TAXON	RESULTAT	CODE_REMARQUE
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		1009	Planorbidae	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		1042	Sphaeriidae	2	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		1043	Pisidium	6	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		1044	Sphaerium	7	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		1056	Dugesia	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		1089	Nematoda	1	4
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		224	Cyrnus	5	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		231	Polycentropus	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		245	Tinodes	6	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		287	Goera	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		3127	Cladocera	1	4
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		312	Mystacides	2	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		3170	Ostracoda	1	4
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		3206	Copepoda	1	4
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		387	Cloeon	14	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		5196	Corixinae	3	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		618	Elmis	6	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		622	Oulimnius	17	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		650	Calopteryx	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		719	Micronecta	25	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		733	Plea	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		793	Dixidae	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		807	Chironomidae	170	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		840	Atrichops	3	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		880	Asellidae	4	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		887	Gammaridae	113	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		888	Echinogammarus	65	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		892	Gammarus	53	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		909	Glossiphonia	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		912	Helobdella	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		928	Erpobdellidae	2	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		933	Oligochaeta	161	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		978	Potamopyrgus	3	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	A		994	Bithynia	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		1056	Dugesia	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		191	Agapetus	4	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		212	Hydropsyche	3	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		224	Cyrnus	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		231	Polycentropus	2	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		245	Tinodes	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		287	Goera	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		311	Athripsodes	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		312	Mystacides	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		364	Baetis	33	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		451	Ephemerella ignita	2	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		5196	Corixinae	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		618	Elmis	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		622	Oulimnius	10	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		623	Limnius	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		704	Sialis	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		765	Dicranota	6	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		807	Chironomidae	202	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		837	Tabanidae	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		840	Atrichops	1	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		887	Gammaridae	149	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		888	Echinogammarus	28	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		933	Oligochaeta	116	1
RCS223-06073	04372013	FLUME A PONT DE PACE	004	05/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	344313	6794219	344245	6794159	P12-A	B		978	Potamopyrgus	1	1
