CODE_OPERATION	CODE_STATION	LB_STATION	CODE_POINT	DATE	CODE_PRODUCTEUR	NOM_PRODUCTEUR	CODE_PRELEVEUR	NOM_PRELEVEUR	CODE_DETERMINATEUR	NOM_DETERMINATEUR	COORD_X_OP	COORD_Y_OP	COORD_X_OP_AVAL	COORD_Y_OP_AVAL	TYPO_NATIONALE	CODE_PHASE	CODE_PREL_ELEM	CODE_TAXON	NOM_LATIN_TAXON	RESULTAT	CODE_REMARQUE
RCS223-06074	04372016	FLUME A LANGOUET	004	05/08/2022	20004512800010	EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	341968	6806102	342007	6806114	P12-A	A		1043	Pisidium	2	1
RCS223-06074	04372016	FLUME A LANGOUET	004	05/08/2022	20004512800010	EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	341968	6806102	342007	6806114	P12-A	A		1044	Sphaerium	1	1
RCS223-06074	04372016	FLUME A LANGOUET	004	05/08/2022	20004512800010	EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	341968	6806102	342007	6806114	P12-A	A		223	Polycentropodidae	3	1
RCS223-06074	04372016	FLUME A LANGOUET	004	05/08/2022	20004512800010	EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	341968	6806102	342007	6806114	P12-A	A		231	Polycentropus	8	1
RCS223-06074	04372016	FLUME A LANGOUET	004	05/08/2022	20004512800010	EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	341968	6806102	342007	6806114	P12-A	A		3127	Cladocera	1	4
RCS223-06074	04372016	FLUME A LANGOUET	004	05/08/2022	20004512800010	EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	341968	6806102	342007	6806114	P12-A	A		312	Mystacides	2	1
RCS223-06074	04372016	FLUME A LANGOUET	004	05/08/2022	20004512800010	EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	341968	6806102	342007	6806114	P12-A	A		3163	Limnephilinae	1	1
RCS223-06074	04372016	FLUME A LANGOUET	004	05/08/2022	20004512800010	EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	341968	6806102	342007	6806114	P12-A	A		622	Oulimnius	2	1
RCS223-06074	04372016	FLUME A LANGOUET	004	05/08/2022	20004512800010	EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	341968	6806102	342007	6806114	P12-A	A		704	Sialis	17	1
RCS223-06074	04372016	FLUME A LANGOUET	004	05/08/2022	20004512800010	EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	341968	6806102	342007	6806114	P12-A	A		807	Chironomidae	395	1
