CODE_OPERATION	CODE_STATION	LB_STATION	CODE_POINT	DATE	CODE_PRODUCTEUR	NOM_PRODUCTEUR	CODE_PRELEVEUR	NOM_PRELEVEUR	CODE_DETERMINATEUR	NOM_DETERMINATEUR	COORD_X_OP	COORD_Y_OP	COORD_X_OP_AVAL	COORD_Y_OP_AVAL	TYPO_NATIONALE	CODE_PHASE	CODE_PREL_ELEM	CODE_TAXON	NOM_LATIN_TAXON	RESULTAT	CODE_REMARQUE
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		1009	Planorbidae	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		1042	Sphaeriidae	185	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		1043	Pisidium	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		1044	Sphaerium	13	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		1087	Bryozoa	1	4
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		223	Polycentropodidae	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		224	Cyrnus	4	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		231	Polycentropus	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		241	Lype	3	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		3163	Limnephilinae	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		3206	Copepoda	1	4
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		325	Notidobia	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		329	Beraeodes	3	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		514	Gyrinus	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		618	Elmis	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		704	Sialis	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		743	Veliidae	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		807	Chironomidae	434	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		880	Asellidae	7	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		887	Gammaridae	51	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		892	Gammarus	18	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		908	Glossiphoniidae	6	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		928	Erpobdellidae	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	A		933	Oligochaeta	19	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		1042	Sphaeriidae	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		1043	Pisidium	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		1044	Sphaerium	4	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		1054	Tricladida	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		1064	Polycelis	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		1087	Bryozoa	1	4
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		223	Polycentropodidae	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		224	Cyrnus	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		329	Beraeodes	5	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		807	Chironomidae	119	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		819	Ceratopogonidae	3	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		880	Asellidae	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		887	Gammaridae	13	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		892	Gammarus	5	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		908	Glossiphoniidae	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		928	Erpobdellidae	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	B		933	Oligochaeta	34	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		1042	Sphaeriidae	42	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		1043	Pisidium	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		1064	Polycelis	3	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		223	Polycentropodidae	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		224	Cyrnus	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		3163	Limnephilinae	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		3206	Copepoda	1	4
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		364	Baetis	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		451	Ephemerella ignita	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		618	Elmis	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		765	Dicranota	1	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		807	Chironomidae	120	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		819	Ceratopogonidae	2	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		887	Gammaridae	39	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		892	Gammarus	8	1
RCS223-06075	04374002	TOURNERAIS A GOVEN	005	04/08/2022		EPTB Eaux et Vilaine	41749411900056	AQUABIO	41749411900056	AQUABIO	342688	6778899	342739	6778903	TP12-A	C		933	Oligochaeta	38	1
