CODE_OPERATION	CODE_STATION	LB_STATION	CODE_POINT	DATE	CODE_PRODUCTEUR	NOM_PRODUCTEUR	CODE_PRELEVEUR	NOM_PRELEVEUR	CODE_DETERMINATEUR	NOM_DETERMINATEUR	COORD_X_OP	COORD_Y_OP	COORD_X_OP_AVAL	COORD_Y_OP_AVAL	TYPO_NATIONALE	CODE_PHASE	CODE_PREL_ELEM	CODE_TAXON	NOM_LATIN_TAXON	RESULTAT	CODE_REMARQUE
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	A		69	Leuctra	36.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	B		69	Leuctra	45.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	C		69	Leuctra	2.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	A		33830	Leuctra_geniculata	3.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	B		33830	Leuctra_geniculata	0.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	C		33830	Leuctra_geniculata	0.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	A		265	Brachycentrus	7.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	B		265	Brachycentrus	0.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	C		265	Brachycentrus	0.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	A		287	Goera	1.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	B		287	Goera	0.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	C		287	Goera	0.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	A		292	Silo	0.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	B		292	Silo	7.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	C		292	Silo	2.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	A		212	Hydropsyche	15.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	B		212	Hydropsyche	43.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	C		212	Hydropsyche	2.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	A		304	Lepidostomatidae	1.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	B		304	Lepidostomatidae	0.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	C		304	Lepidostomatidae	0.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	A		311	Athripsodes	1.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	B		311	Athripsodes	0.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	C		311	Athripsodes	1.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	A		312	Mystacides	0.0	1
	04161595	NANCON A LECOUSSE		17/08/2022	18450301900012		81490190600028		81490190600028		389214	6816489	389127	6816461	P12-B	B		312	Mystacides	1.0	1
