CODE_OPERATION	CODE_STATION	LB_STATION	CODE_POINT	DATE	CODE_PRODUCTEUR	NOM_PRODUCTEUR	CODE_PRELEVEUR	NOM_PRELEVEUR	CODE_DETERMINATEUR	NOM_DETERMINATEUR	COORD_X_OP	COORD_Y_OP	COORD_X_OP_AVAL	COORD_Y_OP_AVAL	TYPO_NATIONALE	CODE_PHASE	CODE_PREL_ELEM	CODE_TAXON	NOM_LATIN_TAXON	RESULTAT	CODE_REMARQUE
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		328	Beraea	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		328	Beraea	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		328	Beraea	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		9812	Agapetinae	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		9812	Agapetinae	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		9812	Agapetinae	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		191	Agapetus	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		191	Agapetus	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		191	Agapetus	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		292	Silo	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		292	Silo	25.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		292	Silo	11.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		212	Hydropsyche	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		212	Hydropsyche	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		212	Hydropsyche	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		2307	Diplectrona	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		2307	Diplectrona	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		2307	Diplectrona	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		320	Adicella	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		320	Adicella	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		320	Adicella	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		311	Athripsodes	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		311	Athripsodes	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		311	Athripsodes	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		3163	Limnephilinae	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		3163	Limnephilinae	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		3163	Limnephilinae	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		183	Rhyacophila lato-sensu	12.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		183	Rhyacophila lato-sensu	4.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		183	Rhyacophila lato-sensu	14.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		322	Sericostoma	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		322	Sericostoma	1.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		322	Sericostoma	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		363	Baetidae	2.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		363	Baetidae	0.0	1
